"когда"	"när"
"мне"	"jag (dativ, lokativ)"
"быть"	"att vara, finnas"
"шесть"	"sex"
"лет"	"år"
"в"	"i"
"книга"	"bok"
"под"	"under"
"название"	"namn, titel"
"правдивый"	"sann"
"история"	"historia, berättelse"
"где"	"var, där"
"рассказывать"	"att berätta"
"про"	"om"
"девственный"	"orörd"
"лес"	"skog"
"я"	"jag (nominativ)"
"увидеть"	"att få se (pf.)"
"однажды"	"en gång"
"удивительный"	"fantastisk, enastående"
"картинка"	"bild, illustration"
"огромный"	"enorm"
"змея"	"orm"
"удав"	"boaorm"
"глотать"	"att svälja"
"хищного"	
"зверь"	"vilt djur"
"вот"	"här är, det är"
"как"	"hur"
"этот"	"den (nominativ)"
"нарисовать"	"att rita, teckna, måla (pf.)"
"говорить"	"att tala, säga"
"заглатывает"	
"свою"	"sin (fem. ackusativ)"
"жертва"	"offer"
"целиком"	"helt, helt och hållet, totalt"
"не"	"inte"
"жевать (жуя ?)"	"att tugga"
"после"	"sedan, efter"
"он"	"han, den, det (m. nominativ)"
"уже"	"redan"
"мочь"	"att kunna"
"шевелиться"	"att röra sig"
"и"	"och"
"спать"	"att sova"
"полгода"	"halvår"
"подряд"	"I sträck"
"пока"	"medan"
"переварить"	"att smälta (mat) (pf.)"
"пища"	"mat, föda"
"много"	"mycket, många"
"раздумывать"	"fundera på"
"о"	"om"
"полный"	"full"
"приключение"	"äventyr"
"жизнь"	"liv"
"джунгли"	"djungel"
"тоже"	"också"
"цветной"	"färgan"
"карандаш"	"penna"
"первый"	"första"
"мой"	"min, mitt (m. nominativ)"
"рисунок"	"teckning, ritning, målning"
"что"	"vad"
"показать"	"att visa (pf.)"
"творение"	"skapelse, verk"
"взрослый"	"vuxen"
"спросить"	"att fråga (pf.)"
"страшно"	"hemskt, fruktansvärt ?"
"ли"	
"им"	"dem (pl. dativ) han, den, det (m./n. instrumentalis)"
"разве"	"verkligen"
"шляпа"	"hatt"
"возразить"	"att invända (pf.)"
"а"	"utan, och, men"
"совсем нет"	"inte alls"
"который"	"vilken"
"проглотить"	"att svälja, sluka (pf.)"
"слон"	"elefant"
"тогда"	"då"
"изнутри"	"inifrån"
"чтоб"	"så att, för att"
"понятний"	"förståelig, begriplig"
"ведь"	"ju"
"всегда"	"alltid"
"нужный"	"nödvändig"
"весь"	"allt"
"объяснять"	"att förklara"
"посоветовать"	"att råda (pf.)"
"снаружи"	"utanpå, utvändigt"
"поболше"	"fler, mer"
"интересоваться"	"att intressera sig"
"география"	"geografi"
"арифметика"	"aritmetik"
"правописание"	"rättskrivning"
"случаться"	"att hända, inträffa"
"отказаться"	"att avvisa (pf.)"
"от"	"från"
"блестящий"	"lysande, strålande"
"карьера"	"karriär"
"художник"	"konstnär"
"потерпеть"	"att tåla, uthärda (pf.)"
"неудача"	"otur, misslyckande"
"с"	"med"
"утратить"	"att mista, förlora (pf.)"
"вера"	"tro"
"себя"	"sig (genitiv/ackusativ)"
"никогда"	"aldrig"
"ничего"	"inget, ingenting"
"сам"	"själv"
"для"	"för"
"дети"	"barn (pl.)"
"очень"	"mycket"
"утомительный"	"tröttsam"
"без"	"utan"
"конец"	"slut"
"растолковывать"	"att klargöra"
"итак"	"alltså"
"пришлось"	
"выбирать"	"att rycka ut, rycka loss"
"другой"	"annan"
"профессия"	"yrke"
"выучиться"	"att lära sig (pf.)"
"лётчик"	"pilot"
"облетел"	
"чуть"	"knappt, knappast"
"свет"	"ljus"
"по"	
"правда"	"sanning"
"сказать"	"att säga (pf.)"
"пригодиться"	"att komma till nytta"
"уметь"	"att kunna"
"взгляд"	"blick"
"отличить"	"att skilja på (pf.)"
"Китай"	"Kina"
"Аризоны"	"Arizona"
"полезный"	"nyttig, användbar"
"если"	"om"
"ночью"	"på natten"
"собьешься"	
"пути"	
"своем"	
"век"	"århundrade, sekel"
"встречать"	"att möta"
"разный"	"olik, annorlunda"
"серьёзный"	"allvarlig, seriös"
"люди"	"människor, folk"
"долго"	"länge"
"жить"	"att leva, bo"
"среди"	"bland, mitt I"
"видеть"	"att se"
"их"	"de/dem (genitiv/ackusativ)"
"совсем"	"helt, alldeles"
"близко"	"nära"
"признаться"	"att erkänna, bekänna"
"стать"	
"думать"	"att tänka, tro, tycka"
"них"	"dem (lokativ)"
"лучше"	"bättre"
"казаться"	"att verka vara"
"разумный"	"förnuftig"
"понятливей"	
"ему"	"han, den, det (m./n. lokativ)"
"свой"	"sin (m. nominativ/ackusativ)"
"его"	"honom"
"сохранять"	"att bevara, behålla"
"носить"	"att bära, ha på sig, klä sig I"
"собою"	"sig?"
"хотеть"	"att vilja, att önska"
"знать"	"att veta, kunna, känna till"
"вправду"	"verkligen"
"человек"	"människa, person"
"что-то"	"något"
"но"	"men"
"они"	"de (pl. nominativ)"
"отвечать"	"att svara"
"ними"	"dem?"
"звезда"	"stjärna"
"применялся"	
"к"	"till, mot"
"понятия"	"tankar, idéer"
"игра"	"lek, spel"
"бридж"	"bridge (kortspel)"
"гольф"	"golf"
"политика"	"politik"
"галстук"	"slips"
"довольный"	"nöjd, belåten"
"познакомить"	"att bekanta, lära känna (pf.)"
"такой"	"sådan, så"
"здравомыслящим"	
